ID,Requirement,PRD acceptance evidence,Class,Architecture domain,Components,APIs/events,Data entities,Controls,Test architecture,Metrics,Architecture evidence
FR-01,Connect an ElevenLabs workspace using backend-held service credentials.,"Connection test returns workspace identity, permitted scopes and a stored verification timestamp.",Core,Provider connection and agent control,elevenlabs; agents; api; worker,/v1/admin/integrations/elevenlabs; provider-connections; agents; agent-releases,ProviderIntegration; EncryptedProviderCredential; ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,test-before-save proof; secret scope; capability registry; approval; reconciliation,credential vault unit + provider contract + Administration E2E,provider health; publication success; drift,encrypted reference + provider discovery + audit evidence
FR-02,Protect ElevenLabs credentials with a secret manager and least-privilege scopes.,"No permanent provider credential is returned to the browser, logs or exports.",Core,Provider connection and agent control,elevenlabs; agents; api; worker,/v1/admin/integrations/elevenlabs; provider-connections; agents; agent-releases,EncryptedProviderCredential; ProviderCredentialReference; ProviderWorkspace,AES-256-GCM; separate master key; RBAC; safe audit; retry limit,credential vault binding + browser secret absence E2E,provider auth failures; vault availability,ADR-0007 + encrypted record + safe browser reference
FR-03,"Represent local and remote identities for agents, versions, branches, knowledge, voices, tests, webhooks and conversations.","Every synchronized object stores provider ID, local ID, environment and sync state.",Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-04,"Create, read, update, clone and archive managed agent configurations from the Quantum Parks application.",Authorized users can complete the lifecycle without using the vendor console.,Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-05,"Support draft, staging, approved, active, superseded and rolled-back agent versions.",Only approved versions may be activated; transitions are audited.,Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-06,Publish and roll back agent versions through supported ElevenLabs APIs.,The remote result is verified before local state becomes active.,Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-07,Run scheduled and on-demand reconciliation against ElevenLabs.,"Drift is detected, classified, displayed and assigned for resolution.",Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-08,"Display provider health, rate-limit, usage, quota and API-error information available to the integration.",Operations users can identify provider or credential failures from the Quantum Parks app.,Core,Provider connection and agent control,elevenlabs; agents; api; worker,provider-connections; agents; agent-releases,ProviderWorkspace; Agent; AgentVersion; AgentReleaseManifest,secret scope; capability registry; approval; reconciliation,provider contract + agent lifecycle E2E,provider health; publication success; drift,provider mapping + publication read-back
FR-09,Manage the agent system prompt and versioned policy fragments.,"Draft, diff, approval and rollback are available; immutable safety fragments cannot be edited by ordinary users.",Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
FR-10,"Manage first messages, automation disclosures, after-hours messages and closure wording by language.",Only approved language variants can be published.,Core,Agent configuration,agents; config; admin-web,agent-versions; prompts; tools; transfers,PromptVersion; ToolVersion; TransferPolicy; LanguageConfiguration,versioning; release compiler; separation of duties,configuration validation + release tests,configuration failures; rollback time,release manifest + approval history
